default,  0.0,  2.0,  4.0,  6.0,  8.0,  10.0
0.0,     -0.3, -0.3, -0.3, -0.3, -0.3, -0.3
0.1,     -0.5, -0.48, -0.46, -0.44, -0.42, -0.40
0.2,     -0.7, -0.68, -0.66, -0.64, -0.62, -0.60
0.3,     -0.9, -0.88, -0.86, -0.84, -0.82, -0.80
0.4,    -1.1, -1.08, -1.06, -1.04, -1.02, -1.00
0.5,    -1.3, -1.28, -1.26, -1.24, -1.22, -1.20
0.6,    -1.5, -1.48, -1.46, -1.44, -1.42, -1.40
0.7,    -1.7, -1.68, -1.66, -1.64, -1.62, -1.60
0.8,    -1.9, -1.88, -1.86, -1.84, -1.82, -1.80
0.9,    -2.2, -2.18, -2.16, -2.14, -2.12, -2.10
1.0,    -2.5, -2.48, -2.46, -2.44, -2.42, -2.40
